date,AGG,EEM,IJS,SPY,TLT,UUP,VNQ
2008-09-25,633200,98210700,101200,328253000,1881200,1124400,2240200
2008-09-26,473200,56618700,222200,285917400,1992800,725700,1991700
2008-09-29,751500,126723300,216000,459562300,4799800,840500,3275700
2008-09-30,655400,77582900,227200,328154400,1358100,679900,2369100
2008-10-01,800000,69638300,3221100,332783000,1767800,679100,2887000
2008-10-02,400400,81034600,90800,365337800,931900,1859100,2279600
2008-10-03,501200,83974700,296500,461798000,1903100,797800,4099000
2008-10-06,798300,155814800,447900,610637500,2906200,1779800,4331400
2008-10-07,818000,115117100,170400,540012100,1972000,1067200,3188200
2008-10-08,835000,133618100,347400,725414800,3386300,1246700,2313700
2008-10-09,946600,129263500,327000,534485200,1785400,650200,5654200
2008-10-10,1559700,181837700,805800,871026300,2200000,1533300,3060000
2008-10-13,911000,177204100,543900,455584000,1532100,1838900,1518600
2008-10-14,773100,154341500,295700,546268300,2100000,1099500,3512800
2008-10-15,678200,153732000,177400,484627500,1449500,557100,2787600
2008-10-16,482900,182101100,286300,708811200,1063200,497600,2282300
2008-10-17,588500,121812700,212100,476649000,1691800,535100,3186700
2008-10-20,537600,84463900,214800,321294200,1146800,489500,1889500
2008-10-21,571000,86398800,174000,356502000,1243700,751700,1410200
2008-10-22,666800,157052000,250400,516168000,1069800,1315200,2564900
2008-10-23,855400,153277100,372800,634666400,1802000,1329300,5536300
2008-10-24,400100,170199600,219500,545812600,1495400,911700,2853100
2008-10-27,675400,142877900,150800,397288600,1534100,949300,2338400
2008-10-28,602700,219283400,137200,639939500,1505500,1148000,4867500
2008-10-29,597800,159872300,284900,531270100,1745800,1968800,3787300
2008-10-30,386400,186225900,179500,414582100,1326000,1491800,3782900
2008-10-31,732700,162086800,180900,411394000,2282500,723300,11149000
2008-11-03,613700,90109900,442200,205419400,1111600,697100,6681200
2008-11-04,531100,138685300,228500,346793400,1608800,1084300,6208700
2008-11-05,612600,153152800,665200,387844100,1931700,601400,9770700
2008-11-06,516000,158025800,210200,477721900,919700,845100,12780800
2008-11-07,878500,152078400,203500,380391000,1277100,279700,8636600
2008-11-10,424400,96111900,495100,301773000,1352100,408100,3812600
2008-11-11,402500,128587900,217800,418498200,696000,732700,3649900
2008-11-12,823300,182266000,234200,454330600,1199400,727200,5528600
